N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;6.232589890750932e-05;0.0001181036582668972;0.05019395021027428;0.09350224259529018
2;1.2562345538843206e-05;4.9417333258493235e-05;0.010117042153482437;0.03912352547374931
3;6.0979744423793235e-06;1.4726380748852214e-05;0.0049109829285981545;0.0122639602447603
4;5.95788585729436e-06;6.7287523715341135e-06;0.004798163064175211;0.0054141162032293275
5;2.4233094716921385e-06;1.0097492596086027e-05;0.0019516040217359139;0.008409075514349466
6;1.6303773464154443e-06;4.04988351737634e-06;0.0013130188378249947;0.00322050580599463
7;9.798976900519039e-07;1.408313167590436e-06;0.0007891572641193295;0.0011359410417248863
8;6.117175007418548e-07;1.2412611749140767e-06;0.0004926446038195946;0.0010337080075630378
9;1.7256040964308756e-07;3.43927462398419e-07;0.00013897093763129165;0.00027430976768161644
10;9.333249395248616e-08;1.6356695632310791e-07;7.5165005825329e-05;0.00013064811103247401
11;8.908547860885352e-08;1.7908253496443094e-07;7.174468649681199e-05;0.00014330518792461005
12;5.6982356902471136e-08;1.1216323016205454e-07;4.589054687315703e-05;9.34082459968006e-05
13;3.4487585128247896e-08;9.00491408488413e-08;2.777445911159252e-05;7.334731748895223e-05
14;2.679859497849589e-08;6.123823195758327e-08;2.158215710698499e-05;4.88217202671947e-05
15;4.8240561951422375e-09;1.3632999350948749e-08;3.885037211093645e-06;1.0897214094416243e-05
16;5.855432356556413e-09;1.4187822604261324e-08;4.715652486629583e-06;1.1303664114786528e-05
17;1.7768123310456204e-09;5.510649832285441e-09;1.4309497534861875e-06;4.3735556430499615e-06
18;6.111743958638693e-10;3.012897584198093e-09;4.922072161576079e-07;2.3912016971392677e-06
19;4.901094763093885e-10;1.2480004044079784e-09;3.947079959161735e-07;9.904819535527374e-07
20;6.481018284227172e-11;2.2900381244084222e-10;5.219465980797635e-08;1.8783054633167746e-07
21;1.638352036252338e-10;4.819515585230416e-10;1.3194412270986647e-07;4.0136370602040353e-07
22;2.292707629766168e-10;6.12180247466787e-10;1.8464242735748703e-07;4.880697583350035e-07
23;1.4577029181104728e-10;3.936950487837265e-10;1.1739560756530531e-07;3.162282044643148e-07
24;1.1627633562232686e-10;3.7461485996592714e-10;9.364275049640734e-08;3.0090239869324106e-07
25;1.2423973356687848e-10;3.4683927951917326e-10;1.0005604588307537e-07;2.7859218178864335e-07
26;5.456717854848392e-11;2.0938088762800788e-10;4.3945491219344954e-08;1.6818129247066695e-07
27;3.570877368856753e-11;1.9355942890153521e-10;2.8757939155498546e-08;1.555046287404431e-07
28;2.471910843249091e-11;2.0804073741498286e-10;1.9907449706326334e-08;1.6713883595442003e-07
29;3.064345804159334e-11;2.0340501505344832e-10;2.4678604467348356e-08;1.6341452095274212e-07
30;2.6626094477948994e-11;1.979756358849727e-10;2.1443234416940084e-08;1.5905258624009943e-07
31;3.619936325096538e-11;1.9053526464918313e-10;2.9153033787109403e-08;1.5307503106090378e-07
32;3.486009450496054e-11;1.8769548068564568e-10;2.807445826820832e-08;1.5079356353716148e-07
33;1.9812099310190633e-11;1.586807629738729e-10;1.595560663814022e-08;1.274832916925735e-07
34;2.353318191706127e-11;1.534575348738354e-10;1.895236783006074e-08;1.2328697766575247e-07
35;1.9074535051722966e-11;1.5380671736231477e-10;1.5361611777009763e-08;1.2356750904333402e-07
36;1.465868864810705e-11;1.6007875927592785e-10;1.1805324929895978e-08;1.2860643458034343e-07
37;1.041826383417255e-11;1.468035658314104e-10;8.390313262003343e-09;1.1794121387907034e-07
38;9.34453895029376e-12;1.4778593626640912e-10;7.525592587201372e-09;1.187304451278243e-07
39;1.30000532994197e-11;1.4541367762688218e-10;1.0469548606275474e-08;1.1682458499427532e-07
40;1.2620563634763876e-11;1.4620017349531444e-10;1.0163927898561094e-08;1.1745645164484634e-07
41;1.1094218984637304e-11;1.4688067428991758e-10;8.934691438035137e-09;1.1890032929093249e-07
42;9.435368871141382e-12;1.5088926982875783e-10;7.598742154308288e-09;1.2122364701527297e-07
43;1.025758198439765e-11;1.517346456814117e-10;8.26090868206679e-09;1.2190281753597103e-07
44;9.816578882454668e-12;1.5207013079332476e-10;7.905748337338325e-09;1.221723445131483e-07
45;9.31335982857115e-12;1.5269420103325437e-10;7.500482587814618e-09;1.2267371926672632e-07
46;6.688962542043373e-12;1.5251493817869388e-10;5.386933179928258e-09;1.2252970043073584e-07
47;7.383036111690772e-12;1.5056307936522906e-10;5.94590296308126e-09;1.2096158730979865e-07
48;6.681584902711099e-12;1.50172353718947e-10;5.380991623243044e-09;1.2064768037739406e-07
49;6.570353898693204e-12;1.5123146138162902e-10;5.291412113354271e-09;1.2149856191189843e-07
50;6.519170574763003e-12;1.5282579021724807e-10;5.2501917979159166e-09;1.227794373261323e-07
