N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;0.01154807674063251;1.6825745709072921;14.784927924325784;48572.367437562185
2;0.00076304527812167;0.01630931116880241;0.9769219319725524;16.29217666354715
3;0.0011171642117502186;0.013302254050605575;1.4302981112211166;42.43612824277159
4;0.00349025667725234;0.009831495792219824;4.468553038706788;89.73369381162593
5;0.001491814251780848;0.005378995399406689;1.9099601331410776;21.378163107246436
6;0.010167755711598217;0.030260843728611285;13.017711842803141;191.0532636472121
7;0.004423546365210965;0.012912105059298441;5.663437786955266;107.14876248514979
8;0.00897458076913174;0.017512931275793665;11.49009768490552;289.82979510678473
9;0.00832931935495383;0.017727555197292688;10.663973671769936;176.3587149753348
10;0.006248535667596842;0.015660034633142084;7.999959781436128;178.4546412443698
11;0.008598334679994928;0.019970068820516138;11.008392251642825;116.98678970607332
12;0.003840188644948886;0.022519402892781672;4.916568672566135;157.54615607752527
13;0.005495403189405762;0.016020418137585122;7.035729143069749;106.83464320482236
14;0.002658300094393267;0.03185770425139456;3.4034044091986284;131.2509633932828
15;0.003512282028103995;0.02024490998400896;4.496751952877827;80.70732592879135
16;0.0018921900758694492;0.022905762615823357;2.422558709920905;101.02210236344293
17;0.0035731376488562306;0.013862286808356519;4.57466501033493;72.88485440487183
18;0.0007720440915882102;0.008980290634776518;0.9884430546231412;73.8092117893718
19;0.0008073364108820222;0.008040653915817857;1.0336275826411563;60.43996697020141
20;0.0027051608648584052;0.009472300127201554;3.4633999503927435;88.67743809634214
21;0.0030638302594022367;0.008140204843419215;3.9226020553054726;161.15790942984816
22;0.0051043464292644305;0.027372146590053298;6.535061703558669;433.9513020246131
23;0.0038172219371074693;0.007949499245418053;4.887164545132546;196.71483288364902
24;0.005262464738259617;0.006827039450817765;6.737499551393927;163.1425731304252
25;0.005545816071658494;0.007592918201110622;7.100272430000085;158.72290521043936
26;0.0037039281949855702;0.005096771628481055;4.742115300208883;147.1330118524443
27;0.004110713604607991;0.0067977251114051986;5.262920027871732;81.54938828948494
28;0.003315729555369469;0.008663916694041571;4.245107093911577;165.10630043241892
29;0.004641624617214634;0.009665207147043949;5.942641961828153;188.66526138263762
30;0.003974193095809471;0.006451834274108299;5.088133703870572;145.71075130737916
31;0.003901545759288903;0.005030766771108572;4.9951237890185505;112.04071133594849
32;0.0038033649897875376;0.005204954992181543;4.869423585146067;88.44882373984201
33;0.0036390094707163295;0.005235134794492124;4.659000277610977;71.80404678693345
34;0.0028053466093591385;0.004043043571565;3.5916671107828755;89.87279076260327
35;0.0026523410189341237;0.0037881440868064165;3.3957750434490053;83.90797250643277
36;0.0027404653658001537;0.0037236702372102012;3.508600074495795;65.6248358032858
37;0.0028584474765229904;0.003911420965871413;3.6596518074011755;65.64209463217291
38;0.0033696871959582172;0.004562444644960209;4.314188712001651;85.401224376728
39;0.003049371866589207;0.005024900690379624;3.9040910685460783;76.70946500909977
40;0.0035785584913497507;0.00567397298438822;4.581605279901534;77.02748227174594
41;0.004389775024170909;0.007950089010073772;5.620200557553398;79.43817256643332
42;0.00497220193407976;0.00878493229387458;6.365877961470481;90.22885513959005
43;0.0035664364826018154;0.005818384028083899;4.566085550542126;86.66468542050919
44;0.0035302510068583354;0.005520709136867544;4.51975752010115;100.13790084631457
45;0.0032610607711263014;0.005392097355874578;4.175115003202494;92.68656888319114
46;0.003142552708077869;0.005616527682129571;4.023389896938046;96.59531340353219
47;0.0029524528419559446;0.005466845653432872;3.780006268463585;85.48294007577557
48;0.003196685045768324;0.004486393936775836;4.092695178596976;63.59344533609812
49;0.003595311390034744;0.005509765772324995;4.6030539076812245;61.85910416484855
50;0.005062986386767349;0.009204405266907516;6.482108708787286;99.82620000316021
