N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;0.0410910776182411;0.04455524045888094;0.494561816443115;0.6435335717314252
2;0.03938655331160813;0.04893234007784162;0.47404659303885877;0.5449721825540346
3;0.020662859673076944;0.033455260622342116;0.24869295246444686;0.3891255832057263
4;0.013000669049562789;0.01931805271296007;0.15647276423028925;0.2775094339860125
5;0.007024868439396754;0.01059414785691143;0.08454953963338484;0.11817170369163373
6;0.005192140673327561;0.006815976143913477;0.06249129181973911;0.08602165966368697
7;0.002984700512174533;0.004960839466845496;0.03592310040037638;0.0691805721475281
8;0.0017826163395909364;0.0023026668305009966;0.02145511935997282;0.02695688968699287
9;0.0008365546704310792;0.001398298316377719;0.010068560411243741;0.015520139747627656
10;0.0004957387278464186;0.0010909876548429274;0.005966585933878906;0.012108470495251948
11;0.0003017127391494171;0.0007184588280811688;0.003631338211766051;0.007969004154780057
12;0.00013354244320743037;0.00023328158786081705;0.0016072830675922624;0.0027244895937167755
13;0.00010838334872887184;0.00022033468844676632;0.0013044745703077753;0.0024455509644295634
14;7.201356881525884e-05;0.00024827736926881164;0.0008667370988103625;0.0027557062910633086
15;3.714967485034536e-05;0.00011910610063047831;0.00044712408968563595;0.0013218210564145778
16;2.1213837794384945e-05;4.3136060071191865e-05;0.00025532438576551824;0.00047871731331178367
17;1.0500439972369233e-05;3.6628192011092995e-05;0.00012638063947686495;0.0004065402623347931
18;5.073351104784651e-06;1.2175157063848736e-05;6.10615706199475e-05;0.00013512758776715544
19;3.7950783557156626e-06;1.0610853996665719e-05;4.5676603144462124e-05;0.00011777101545427728
20;2.3195697124020366e-06;7.382322643286099e-06;2.791775433562095e-05;8.193828392291664e-05
21;1.0924402274166043e-06;3.676560179668253e-06;1.3148334250227755e-05;4.080653883979091e-05
22;7.921430275785915e-07;3.149752754578182e-06;9.534033111560588e-06;3.495681650089781e-05
23;5.191343433892448e-07;1.5059103166809876e-06;6.248169644755564e-06;1.7729315392209923e-05
24;3.619739762026922e-07;1.465329498014705e-06;4.356627218179137e-06;1.7251551128934066e-05
25;3.312902800017625e-07;1.4420302298864236e-06;3.987326011982878e-06;1.697724523669183e-05
26;2.5387938464616547e-07;1.4094507272271483e-06;3.055628056158095e-06;1.659368170600251e-05
27;2.3526193717493045e-07;1.405253514828991e-06;2.8315531675788714e-06;1.654426727437883e-05
28;1.9756582980071237e-07;1.4102263414336097e-06;2.3778523542531124e-06;1.6602813132181553e-05
29;1.5707336137196815e-07;1.4008030958352834e-06;1.8904952465997487e-06;1.6491871802289348e-05
30;1.4204826814197526e-07;1.4014306063694492e-06;1.7096570250011634e-06;1.64992595809963e-05
31;1.27166846357967e-07;1.4086545938045416e-06;1.530547996585507e-06;1.658430870391379e-05
32;1.147950248743626e-07;1.4163671900092675e-06;1.381643882595438e-06;1.6675110293551424e-05
33;1.1351530020067089e-07;1.412788158313816e-06;1.3662414401224502e-06;1.6632973799083928e-05
34;9.929196776307213e-08;1.4083226928034665e-06;1.1950530086199828e-06;1.658040118202363e-05
35;1.0279629465191913e-07;1.4089959245686533e-06;1.2372302006532524e-06;1.6588327243864654e-05
36;1.0005877104869841e-07;1.408046006930287e-06;1.2042820590069566e-06;1.657714371638585e-05
37;8.47297121537905e-08;1.404540812616002e-06;1.019785383551949e-06;1.6535876520842687e-05
38;7.370089383846448e-08;1.4025762017710074e-06;8.870453159897572e-07;1.6512746853087547e-05
39;7.035237718660207e-08;1.396619584745143e-06;8.467434165574549e-07;1.6442618678286996e-05
40;6.576778671470709e-08;1.395596127406049e-06;7.915644452855615e-07;1.6430569356521768e-05
41;6.312196469007716e-08;1.3880906247689577e-06;7.597200006437554e-07;1.6342205911530343e-05
42;5.288916689183057e-08;1.386876494452659e-06;6.365606346759614e-07;1.632791176727324e-05
43;4.8671314697001125e-08;1.38783932836412e-06;5.857956325423209e-07;1.6339247360035647e-05
44;4.465000648065897e-08;1.387517192219116e-06;5.373961840190062e-07;1.633545480130838e-05
45;3.9879825551181204e-08;1.3848787104166487e-06;4.799834929437642e-07;1.630439154640244e-05
46;3.644979995816683e-08;1.3853939471375487e-06;4.3870057251301497e-07;1.631045750811696e-05
47;3.52494192022927e-08;1.38566352357997e-06;4.2425309336525644e-07;1.6313631273325322e-05
48;3.377267128302208e-08;1.3860917291652482e-06;4.06479328944468e-07;1.6318672604000865e-05
49;3.169941114733322e-08;1.3855833160132717e-06;3.815260943714637e-07;1.6312686977220114e-05
50;2.9052493668276447e-08;1.385656368432156e-06;3.496684651172689e-07;1.6313547034661927e-05
